probability_effect,probability_exceedance,type,time
23.9,0,Risk curve,70 days
24,0,Risk curve,70 days
24.1,0,Risk curve,70 days
24.2,0,Risk curve,70 days
24.3,0,Risk curve,70 days
24.4,0,Risk curve,70 days
24.5,0,Risk curve,70 days
24.6,0,Risk curve,70 days
24.7,0,Risk curve,70 days
24.8,0,Risk curve,70 days
24.9,0,Risk curve,70 days
25,0,Risk curve,70 days
25.1,0,Risk curve,70 days
25.2,0,Risk curve,70 days
25.3,0,Risk curve,70 days
25.4,0,Risk curve,70 days
25.5,0,Risk curve,70 days
25.6,0,Risk curve,70 days
25.7,0,Risk curve,70 days
25.8,0,Risk curve,70 days
25.9,0,Risk curve,70 days
26,0,Risk curve,70 days
26.1,0,Risk curve,70 days
26.2,0,Risk curve,70 days
26.3,0,Risk curve,70 days
26.4,0,Risk curve,70 days
26.5,0,Risk curve,70 days
26.6,0,Risk curve,70 days
26.7,0,Risk curve,70 days
26.8,0,Risk curve,70 days
26.9,0,Risk curve,70 days
27,0,Risk curve,70 days
27.1,0,Risk curve,70 days
27.2,0,Risk curve,70 days
27.3,0,Risk curve,70 days
27.4,0,Risk curve,70 days
27.5,0,Risk curve,70 days
27.6,0,Risk curve,70 days
27.7,0,Risk curve,70 days
27.8,0,Risk curve,70 days
27.9,0,Risk curve,70 days
28,0,Risk curve,70 days
28.1,0,Risk curve,70 days
28.2,0,Risk curve,70 days
28.3,0,Risk curve,70 days
28.4,0,Risk curve,70 days
28.5,0,Risk curve,70 days
28.6,0,Risk curve,70 days
28.7,0,Risk curve,70 days
28.8,0,Risk curve,70 days
28.9,0,Risk curve,70 days
29,0,Risk curve,70 days
29.1,0,Risk curve,70 days
29.2,0,Risk curve,70 days
29.3,0,Risk curve,70 days
29.4,0,Risk curve,70 days
29.5,0,Risk curve,70 days
29.6,0,Risk curve,70 days
29.7,0,Risk curve,70 days
29.8,0,Risk curve,70 days
29.9,0,Risk curve,70 days
30,0,Risk curve,70 days
30.1,0,Risk curve,70 days
30.2,0,Risk curve,70 days
30.3,0,Risk curve,70 days
30.4,0,Risk curve,70 days
30.5,0,Risk curve,70 days
30.6,0,Risk curve,70 days
30.7,0,Risk curve,70 days
30.8,0,Risk curve,70 days
30.9,0,Risk curve,70 days
31,0,Risk curve,70 days
31.1,0,Risk curve,70 days
31.2,0,Risk curve,70 days
31.3,0,Risk curve,70 days
31.4,0,Risk curve,70 days
31.5,0,Risk curve,70 days
31.6,0,Risk curve,70 days
31.7,0,Risk curve,70 days
31.8,0,Risk curve,70 days
31.9,0,Risk curve,70 days
32,0,Risk curve,70 days
32.1,0,Risk curve,70 days
32.2,0,Risk curve,70 days
32.3,0,Risk curve,70 days
32.4,0,Risk curve,70 days
32.5,0,Risk curve,70 days
32.6,0,Risk curve,70 days
32.7,0,Risk curve,70 days
32.8,0,Risk curve,70 days
32.9,0,Risk curve,70 days
33,0,Risk curve,70 days
33.1,0,Risk curve,70 days
33.2,0,Risk curve,70 days
33.3,0,Risk curve,70 days
33.4,0,Risk curve,70 days
33.5,0,Risk curve,70 days
33.6,0,Risk curve,70 days
33.7,0,Risk curve,70 days
33.8,0,Risk curve,70 days
33.9,0,Risk curve,70 days
34,0,Risk curve,70 days
34.1,0,Risk curve,70 days
34.2,0,Risk curve,70 days
34.3,0,Risk curve,70 days
34.4,0,Risk curve,70 days
34.5,0,Risk curve,70 days
34.6,0,Risk curve,70 days
34.7,0,Risk curve,70 days
34.8,0,Risk curve,70 days
34.9,0,Risk curve,70 days
35,0,Risk curve,70 days
35.1,0,Risk curve,70 days
35.2,0,Risk curve,70 days
35.3,0,Risk curve,70 days
35.4,0,Risk curve,70 days
35.5,0,Risk curve,70 days
35.6,0,Risk curve,70 days
35.7,0,Risk curve,70 days
35.8,0,Risk curve,70 days
35.9,0,Risk curve,70 days
36,0,Risk curve,70 days
36.1,0,Risk curve,70 days
36.2,0,Risk curve,70 days
36.3,0,Risk curve,70 days
36.4,0,Risk curve,70 days
36.5,0,Risk curve,70 days
36.6,0,Risk curve,70 days
36.7,0,Risk curve,70 days
36.8,0,Risk curve,70 days
36.9,0,Risk curve,70 days
37,0,Risk curve,70 days
37.1,0,Risk curve,70 days
37.2,0,Risk curve,70 days
37.3,0,Risk curve,70 days
37.4,0,Risk curve,70 days
37.5,0,Risk curve,70 days
37.6,0,Risk curve,70 days
37.7,0,Risk curve,70 days
37.8,0,Risk curve,70 days
37.9,0,Risk curve,70 days
38,0,Risk curve,70 days
38.1,0,Risk curve,70 days
38.2,0,Risk curve,70 days
38.3,0,Risk curve,70 days
38.4,0,Risk curve,70 days
38.5,0,Risk curve,70 days
38.6,0,Risk curve,70 days
38.7,0,Risk curve,70 days
38.8,0,Risk curve,70 days
38.9,0,Risk curve,70 days
39,0,Risk curve,70 days
39.1,0,Risk curve,70 days
39.2,0,Risk curve,70 days
39.3,0,Risk curve,70 days
39.4,0,Risk curve,70 days
39.5,0,Risk curve,70 days
39.6,0,Risk curve,70 days
39.7,0,Risk curve,70 days
39.8,0,Risk curve,70 days
39.9,0,Risk curve,70 days
40,0,Risk curve,70 days
40.1,0,Risk curve,70 days
40.2,0,Risk curve,70 days
40.3,0,Risk curve,70 days
40.4,0,Risk curve,70 days
40.5,0,Risk curve,70 days
40.6,0,Risk curve,70 days
40.7,0,Risk curve,70 days
40.8,0,Risk curve,70 days
40.9,0,Risk curve,70 days
41,0,Risk curve,70 days
41.1,0,Risk curve,70 days
41.2,0,Risk curve,70 days
41.3,0,Risk curve,70 days
41.4,0,Risk curve,70 days
41.5,0,Risk curve,70 days
41.6,0,Risk curve,70 days
41.7,0,Risk curve,70 days
41.8,0,Risk curve,70 days
41.9,0,Risk curve,70 days
42,0,Risk curve,70 days
42.1,0,Risk curve,70 days
42.2,0,Risk curve,70 days
42.3,0,Risk curve,70 days
42.4,0,Risk curve,70 days
42.5,0,Risk curve,70 days
42.6,0,Risk curve,70 days
42.7,0,Risk curve,70 days
42.8,0,Risk curve,70 days
42.9,0,Risk curve,70 days
43,0,Risk curve,70 days
43.1,0,Risk curve,70 days
43.2,0,Risk curve,70 days
43.3,0,Risk curve,70 days
43.4,0,Risk curve,70 days
43.5,0,Risk curve,70 days
43.6,0,Risk curve,70 days
43.7,0,Risk curve,70 days
43.8,0,Risk curve,70 days
43.9,0,Risk curve,70 days
44,0,Risk curve,70 days
44.1,0,Risk curve,70 days
44.2,0,Risk curve,70 days
44.3,0,Risk curve,70 days
44.4,0,Risk curve,70 days
44.5,0,Risk curve,70 days
44.6,0,Risk curve,70 days
44.7,0,Risk curve,70 days
44.8,0,Risk curve,70 days
44.9,0,Risk curve,70 days
45,0,Risk curve,70 days
45.1,0,Risk curve,70 days
45.2,0,Risk curve,70 days
45.3,0,Risk curve,70 days
45.4,0,Risk curve,70 days
45.5,0,Risk curve,70 days
45.6,0,Risk curve,70 days
45.7,0,Risk curve,70 days
45.8,0,Risk curve,70 days
45.9,0,Risk curve,70 days
46,0,Risk curve,70 days
46.1,0,Risk curve,70 days
46.2,0,Risk curve,70 days
46.3,0,Risk curve,70 days
46.4,0,Risk curve,70 days
46.5,0,Risk curve,70 days
46.6,0,Risk curve,70 days
46.7,0,Risk curve,70 days
46.8,0,Risk curve,70 days
46.9,0,Risk curve,70 days
47,0,Risk curve,70 days
47.1,0,Risk curve,70 days
47.2,0,Risk curve,70 days
47.3,0,Risk curve,70 days
47.4,0,Risk curve,70 days
47.5,0,Risk curve,70 days
47.6,0,Risk curve,70 days
47.7,0,Risk curve,70 days
47.8,0,Risk curve,70 days
47.9,0,Risk curve,70 days
48,0,Risk curve,70 days
48.1,0,Risk curve,70 days
48.2,0,Risk curve,70 days
48.3,0,Risk curve,70 days
48.4,0,Risk curve,70 days
48.5,0,Risk curve,70 days
48.6,0,Risk curve,70 days
48.7,0,Risk curve,70 days
48.8,0,Risk curve,70 days
48.9,0,Risk curve,70 days
49,0,Risk curve,70 days
49.1,0,Risk curve,70 days
49.2,0,Risk curve,70 days
49.3,0,Risk curve,70 days
49.4,0,Risk curve,70 days
49.5,0,Risk curve,70 days
49.6,0,Risk curve,70 days
49.7,0,Risk curve,70 days
49.8,0,Risk curve,70 days
49.9,0,Risk curve,70 days
50,0,Risk curve,70 days
50.1,0,Risk curve,70 days
50.2,0,Risk curve,70 days
50.3,0,Risk curve,70 days
50.4,0,Risk curve,70 days
50.5,0,Risk curve,70 days
50.6,0,Risk curve,70 days
50.7,0,Risk curve,70 days
50.8,0,Risk curve,70 days
50.9,0,Risk curve,70 days
51,0,Risk curve,70 days
51.1,0,Risk curve,70 days
51.2,0,Risk curve,70 days
51.3,0,Risk curve,70 days
51.4,0,Risk curve,70 days
51.5,0,Risk curve,70 days
51.6,0,Risk curve,70 days
51.7,0,Risk curve,70 days
51.8,0,Risk curve,70 days
51.9,0,Risk curve,70 days
52,0,Risk curve,70 days
52.1,0,Risk curve,70 days
52.2,0,Risk curve,70 days
52.3,0,Risk curve,70 days
52.4,0,Risk curve,70 days
52.5,0,Risk curve,70 days
52.6,0,Risk curve,70 days
52.7,0,Risk curve,70 days
52.8,0,Risk curve,70 days
52.9,0,Risk curve,70 days
53,0,Risk curve,70 days
53.1,0,Risk curve,70 days
53.2,0,Risk curve,70 days
53.3,0,Risk curve,70 days
53.4,0,Risk curve,70 days
53.5,0,Risk curve,70 days
53.6,0,Risk curve,70 days
53.7,0,Risk curve,70 days
53.8,0,Risk curve,70 days
53.9,0,Risk curve,70 days
54,0,Risk curve,70 days
54.1,0,Risk curve,70 days
54.2,0,Risk curve,70 days
54.3,0,Risk curve,70 days
54.4,0,Risk curve,70 days
54.5,0,Risk curve,70 days
54.6,0,Risk curve,70 days
54.7,0,Risk curve,70 days
54.8,0,Risk curve,70 days
54.9,0,Risk curve,70 days
55,0,Risk curve,70 days
55.1,0,Risk curve,70 days
55.2,0,Risk curve,70 days
55.3,0,Risk curve,70 days
55.4,0,Risk curve,70 days
55.5,0,Risk curve,70 days
55.6,0,Risk curve,70 days
55.7,0,Risk curve,70 days
55.8,0,Risk curve,70 days
55.9,0,Risk curve,70 days
56,0,Risk curve,70 days
56.1,0,Risk curve,70 days
56.2,0,Risk curve,70 days
56.3,0,Risk curve,70 days
56.4,0,Risk curve,70 days
56.5,0,Risk curve,70 days
56.6,0,Risk curve,70 days
56.7,0,Risk curve,70 days
56.8,0,Risk curve,70 days
56.9,0,Risk curve,70 days
57,0,Risk curve,70 days
57.1,0,Risk curve,70 days
57.2,0,Risk curve,70 days
57.3,0,Risk curve,70 days
57.4,0,Risk curve,70 days
57.5,0,Risk curve,70 days
57.6,0,Risk curve,70 days
57.7,0,Risk curve,70 days
57.8,0,Risk curve,70 days
57.9,0,Risk curve,70 days
58,0,Risk curve,70 days
58.1,0,Risk curve,70 days
58.2,0,Risk curve,70 days
58.3,0,Risk curve,70 days
58.4,0,Risk curve,70 days
58.5,0,Risk curve,70 days
58.6,0,Risk curve,70 days
58.7,0,Risk curve,70 days
58.8,0,Risk curve,70 days
58.9,0,Risk curve,70 days
59,0,Risk curve,70 days
59.1,0,Risk curve,70 days
59.2,0,Risk curve,70 days
59.3,0,Risk curve,70 days
59.4,0,Risk curve,70 days
59.5,0,Risk curve,70 days
59.6,0,Risk curve,70 days
59.7,0,Risk curve,70 days
59.8,0,Risk curve,70 days
59.9,0,Risk curve,70 days
60,0,Risk curve,70 days
60.1,0,Risk curve,70 days
60.2,0,Risk curve,70 days
60.3,0,Risk curve,70 days
60.4,0,Risk curve,70 days
60.5,0,Risk curve,70 days
60.6,0,Risk curve,70 days
60.7,0,Risk curve,70 days
60.8,0,Risk curve,70 days
60.9,0,Risk curve,70 days
61,0,Risk curve,70 days
61.1,0,Risk curve,70 days
61.2,0,Risk curve,70 days
61.3,0,Risk curve,70 days
61.4,0,Risk curve,70 days
61.5,0,Risk curve,70 days
61.6,0,Risk curve,70 days
61.7,0,Risk curve,70 days
61.8,0,Risk curve,70 days
61.9,0,Risk curve,70 days
62,0,Risk curve,70 days
62.1,0,Risk curve,70 days
62.2,0,Risk curve,70 days
62.3,0,Risk curve,70 days
62.4,0,Risk curve,70 days
62.5,0,Risk curve,70 days
62.6,0,Risk curve,70 days
62.7,0,Risk curve,70 days
62.8,0,Risk curve,70 days
62.9,0,Risk curve,70 days
63,0,Risk curve,70 days
63.1,0,Risk curve,70 days
63.2,0,Risk curve,70 days
63.3,0,Risk curve,70 days
63.4,0,Risk curve,70 days
63.5,0,Risk curve,70 days
63.6,0,Risk curve,70 days
63.7,0,Risk curve,70 days
63.8,0,Risk curve,70 days
63.9,0,Risk curve,70 days
64,0,Risk curve,70 days
64.1,0,Risk curve,70 days
64.2,0,Risk curve,70 days
64.3,0,Risk curve,70 days
64.4,0,Risk curve,70 days
64.5,0,Risk curve,70 days
64.6,0,Risk curve,70 days
64.7,0,Risk curve,70 days
64.8,0,Risk curve,70 days
64.9,0,Risk curve,70 days
65,0,Risk curve,70 days
65.1,0,Risk curve,70 days
65.2,0,Risk curve,70 days
65.3,0,Risk curve,70 days
65.4,0,Risk curve,70 days
65.5,0,Risk curve,70 days
65.6,0,Risk curve,70 days
65.7,0,Risk curve,70 days
65.8,0,Risk curve,70 days
65.9,0,Risk curve,70 days
66,0,Risk curve,70 days
66.1,0,Risk curve,70 days
66.2,0,Risk curve,70 days
66.3,0,Risk curve,70 days
66.4,0,Risk curve,70 days
66.5,0,Risk curve,70 days
66.6,0,Risk curve,70 days
66.7,0,Risk curve,70 days
66.8,0,Risk curve,70 days
66.9,0,Risk curve,70 days
67,0,Risk curve,70 days
67.1,0,Risk curve,70 days
67.2,0,Risk curve,70 days
67.3,0,Risk curve,70 days
67.4,0,Risk curve,70 days
67.5,0,Risk curve,70 days
67.6,0,Risk curve,70 days
67.7,0,Risk curve,70 days
67.8,0,Risk curve,70 days
67.9,0,Risk curve,70 days
68,0,Risk curve,70 days
68.1,0,Risk curve,70 days
68.2,0,Risk curve,70 days
68.3,0,Risk curve,70 days
68.4,0,Risk curve,70 days
68.5,0,Risk curve,70 days
68.6,0,Risk curve,70 days
68.7,0,Risk curve,70 days
68.8,0,Risk curve,70 days
68.9,0,Risk curve,70 days
69,0,Risk curve,70 days
69.1,0,Risk curve,70 days
69.2,0,Risk curve,70 days
69.3,0,Risk curve,70 days
69.4,0,Risk curve,70 days
69.5,0,Risk curve,70 days
69.6,0,Risk curve,70 days
69.7,0,Risk curve,70 days
69.8,0,Risk curve,70 days
69.9,0,Risk curve,70 days
70,0,Risk curve,70 days
70.1,0,Risk curve,70 days
70.2,0,Risk curve,70 days
70.3,0,Risk curve,70 days
70.4,0,Risk curve,70 days
70.5,0,Risk curve,70 days
70.6,0,Risk curve,70 days
70.7,0,Risk curve,70 days
70.8,0,Risk curve,70 days
70.9,0,Risk curve,70 days
71,0,Risk curve,70 days
71.1,0,Risk curve,70 days
71.2,0,Risk curve,70 days
71.3,0,Risk curve,70 days
71.4,0,Risk curve,70 days
71.5,0,Risk curve,70 days
71.6,0,Risk curve,70 days
71.7,0,Risk curve,70 days
71.8,0,Risk curve,70 days
71.9,0,Risk curve,70 days
72,0,Risk curve,70 days
72.1,0,Risk curve,70 days
72.2,0,Risk curve,70 days
72.3,0,Risk curve,70 days
72.4,0,Risk curve,70 days
72.5,0,Risk curve,70 days
72.6,0,Risk curve,70 days
72.7,0,Risk curve,70 days
72.8,0,Risk curve,70 days
72.9,0,Risk curve,70 days
73,0,Risk curve,70 days
73.1,0,Risk curve,70 days
73.2,0,Risk curve,70 days
73.3,0,Risk curve,70 days
73.4,0,Risk curve,70 days
73.5,0,Risk curve,70 days
73.6,0,Risk curve,70 days
73.7,0,Risk curve,70 days
73.8,0,Risk curve,70 days
73.9,0,Risk curve,70 days
74,0,Risk curve,70 days
74.1,0,Risk curve,70 days
74.2,0,Risk curve,70 days
74.3,0,Risk curve,70 days
74.4,0,Risk curve,70 days
74.5,0,Risk curve,70 days
74.6,0,Risk curve,70 days
74.7,0,Risk curve,70 days
74.8,0,Risk curve,70 days
74.9,0,Risk curve,70 days
75,0,Risk curve,70 days
75.1,0,Risk curve,70 days
75.2,0,Risk curve,70 days
75.3,0,Risk curve,70 days
75.4,0,Risk curve,70 days
75.5,0,Risk curve,70 days
75.6,0,Risk curve,70 days
75.7,0,Risk curve,70 days
75.8,0,Risk curve,70 days
75.9,0,Risk curve,70 days
76,0,Risk curve,70 days
76.1,0,Risk curve,70 days
76.2,0,Risk curve,70 days
76.3,0,Risk curve,70 days
76.4,0,Risk curve,70 days
76.5,0,Risk curve,70 days
76.6,0,Risk curve,70 days
76.7,0,Risk curve,70 days
76.8,0,Risk curve,70 days
76.9,0,Risk curve,70 days
77,0,Risk curve,70 days
77.1,0,Risk curve,70 days
77.2,0,Risk curve,70 days
77.3,0,Risk curve,70 days
77.4,0,Risk curve,70 days
77.5,0,Risk curve,70 days
77.6,0,Risk curve,70 days
77.7,0,Risk curve,70 days
77.8,0,Risk curve,70 days
77.9,0,Risk curve,70 days
78,0,Risk curve,70 days
78.1,0,Risk curve,70 days
78.2,0,Risk curve,70 days
78.3,0,Risk curve,70 days
78.4,0,Risk curve,70 days
78.5,0,Risk curve,70 days
78.6,0,Risk curve,70 days
78.7,0,Risk curve,70 days
78.8,0,Risk curve,70 days
78.9,0,Risk curve,70 days
79,0,Risk curve,70 days
79.1,0,Risk curve,70 days
79.2,0,Risk curve,70 days
79.3,0,Risk curve,70 days
79.4,0,Risk curve,70 days
79.5,0,Risk curve,70 days
79.6,0,Risk curve,70 days
79.7,0,Risk curve,70 days
79.8,0,Risk curve,70 days
79.9,0,Risk curve,70 days
80,0,Risk curve,70 days
80.1,0,Risk curve,70 days
80.2,0,Risk curve,70 days
80.3,0,Risk curve,70 days
80.4,0,Risk curve,70 days
80.5,0,Risk curve,70 days
80.6,0,Risk curve,70 days
80.7,0,Risk curve,70 days
80.8,0,Risk curve,70 days
80.9,0,Risk curve,70 days
81,0,Risk curve,70 days
81.1,0,Risk curve,70 days
81.2,0,Risk curve,70 days
81.3,0,Risk curve,70 days
81.4,0,Risk curve,70 days
81.5,0,Risk curve,70 days
81.6,0,Risk curve,70 days
81.7,0,Risk curve,70 days
81.8,0,Risk curve,70 days
81.9,0,Risk curve,70 days
82,0,Risk curve,70 days
82.1,0,Risk curve,70 days
82.2,0,Risk curve,70 days
82.3,0,Risk curve,70 days
82.4,0,Risk curve,70 days
82.5,0,Risk curve,70 days
82.6,0,Risk curve,70 days
82.7,0,Risk curve,70 days
82.8,0,Risk curve,70 days
82.9,0,Risk curve,70 days
83,0,Risk curve,70 days
83.1,0,Risk curve,70 days
83.2,0,Risk curve,70 days
83.3,0,Risk curve,70 days
83.4,0,Risk curve,70 days
83.5,0,Risk curve,70 days
83.6,0,Risk curve,70 days
83.7,0,Risk curve,70 days
83.8,0,Risk curve,70 days
83.9,0,Risk curve,70 days
84,0,Risk curve,70 days
84.1,0,Risk curve,70 days
84.2,0,Risk curve,70 days
84.3,0,Risk curve,70 days
84.4,0,Risk curve,70 days
84.5,0,Risk curve,70 days
84.6,0,Risk curve,70 days
84.7,0,Risk curve,70 days
84.8,0,Risk curve,70 days
84.9,0,Risk curve,70 days
85,0,Risk curve,70 days
85.1,0,Risk curve,70 days
85.2,0,Risk curve,70 days
85.3,0,Risk curve,70 days
85.4,0,Risk curve,70 days
85.5,0,Risk curve,70 days
85.6,0,Risk curve,70 days
85.7,0,Risk curve,70 days
85.8,0,Risk curve,70 days
85.9,0,Risk curve,70 days
86,0,Risk curve,70 days
86.1,0,Risk curve,70 days
86.2,0,Risk curve,70 days
86.3,0,Risk curve,70 days
86.4,0,Risk curve,70 days
86.5,0,Risk curve,70 days
86.6,0,Risk curve,70 days
86.7,0,Risk curve,70 days
86.8,0,Risk curve,70 days
86.9,0,Risk curve,70 days
87,0,Risk curve,70 days
87.1,0,Risk curve,70 days
87.2,0,Risk curve,70 days
87.3,0,Risk curve,70 days
87.4,0,Risk curve,70 days
87.5,0,Risk curve,70 days
87.6,0,Risk curve,70 days
87.7,0,Risk curve,70 days
87.8,0,Risk curve,70 days
87.9,0,Risk curve,70 days
88,0,Risk curve,70 days
88.1,0,Risk curve,70 days
88.2,0,Risk curve,70 days
88.3,0,Risk curve,70 days
88.4,0,Risk curve,70 days
88.5,0,Risk curve,70 days
88.6,0,Risk curve,70 days
88.7,0,Risk curve,70 days
88.8,0,Risk curve,70 days
88.9,0,Risk curve,70 days
89,0,Risk curve,70 days
89.1,0,Risk curve,70 days
89.2,0,Risk curve,70 days
89.3,0,Risk curve,70 days
89.4,0,Risk curve,70 days
89.5,0,Risk curve,70 days
89.6,0,Risk curve,70 days
89.7,0,Risk curve,70 days
89.8,0,Risk curve,70 days
89.9,0,Risk curve,70 days
90,0,Risk curve,70 days
90.1,0,Risk curve,70 days
90.2,0,Risk curve,70 days
90.3,0,Risk curve,70 days
90.4,0,Risk curve,70 days
90.5,0,Risk curve,70 days
90.6,0,Risk curve,70 days
90.7,0,Risk curve,70 days
90.8,0,Risk curve,70 days
90.9,0,Risk curve,70 days
91,0,Risk curve,70 days
91.1,0,Risk curve,70 days
91.2,0,Risk curve,70 days
91.3,0,Risk curve,70 days
91.4,0,Risk curve,70 days
91.5,0,Risk curve,70 days
91.6,0,Risk curve,70 days
91.7,0,Risk curve,70 days
91.8,0,Risk curve,70 days
91.9,0,Risk curve,70 days
92,0,Risk curve,70 days
92.1,0,Risk curve,70 days
92.2,0,Risk curve,70 days
92.3,0,Risk curve,70 days
92.4,0,Risk curve,70 days
92.5,0,Risk curve,70 days
92.6,0,Risk curve,70 days
92.7,0,Risk curve,70 days
92.8,0,Risk curve,70 days
92.9,0,Risk curve,70 days
93,0,Risk curve,70 days
93.1,0,Risk curve,70 days
93.2,0,Risk curve,70 days
93.3,0,Risk curve,70 days
93.4,0,Risk curve,70 days
93.5,0,Risk curve,70 days
93.6,0,Risk curve,70 days
93.7,0,Risk curve,70 days
93.8,0,Risk curve,70 days
93.9,0,Risk curve,70 days
94,0,Risk curve,70 days
94.1,0,Risk curve,70 days
94.2,0,Risk curve,70 days
94.3,0,Risk curve,70 days
94.4,0,Risk curve,70 days
94.5,0,Risk curve,70 days
94.6,0,Risk curve,70 days
94.7,0,Risk curve,70 days
94.8,0,Risk curve,70 days
94.9,0,Risk curve,70 days
95,0,Risk curve,70 days
95.1,0,Risk curve,70 days
95.2,0,Risk curve,70 days
95.3,0,Risk curve,70 days
95.4,0,Risk curve,70 days
95.5,0,Risk curve,70 days
95.6,0,Risk curve,70 days
95.7,0,Risk curve,70 days
95.8,0,Risk curve,70 days
95.9,0,Risk curve,70 days
96,0,Risk curve,70 days
96.1,0,Risk curve,70 days
96.2,0,Risk curve,70 days
96.3,0,Risk curve,70 days
96.4,0,Risk curve,70 days
96.5,0,Risk curve,70 days
96.6,0,Risk curve,70 days
96.7,0,Risk curve,70 days
96.8,0,Risk curve,70 days
96.9,0,Risk curve,70 days
97,0,Risk curve,70 days
97.1,0,Risk curve,70 days
97.2,0,Risk curve,70 days
97.3,0,Risk curve,70 days
97.4,0,Risk curve,70 days
97.5,0,Risk curve,70 days
97.6,0,Risk curve,70 days
97.7,0,Risk curve,70 days
97.8,0,Risk curve,70 days
97.9,0,Risk curve,70 days
98,0,Risk curve,70 days
98.1,0,Risk curve,70 days
98.2,0,Risk curve,70 days
98.3,0,Risk curve,70 days
98.4,0,Risk curve,70 days
98.5,0,Risk curve,70 days
98.6,0,Risk curve,70 days
98.7,0,Risk curve,70 days
98.8,0,Risk curve,70 days
98.9,0,Risk curve,70 days
99,0,Risk curve,70 days
99.1,0,Risk curve,70 days
99.2,0,Risk curve,70 days
99.3,0,Risk curve,70 days
99.4,0,Risk curve,70 days
99.5,0,Risk curve,70 days
99.6,0,Risk curve,70 days
99.7,0,Risk curve,70 days
99.8,0,Risk curve,70 days
99.9,0,Risk curve,70 days
99.99,0,Risk curve,70 days
99.999,0,Risk curve,70 days
99.9999,0,Risk curve,70 days
2,100,Low-intermediate risk boundary,70 days
2.25,88.88888889,Low-intermediate risk boundary,70 days
2.5,80,Low-intermediate risk boundary,70 days
2.75,72.72727273,Low-intermediate risk boundary,70 days
3,66.66666667,Low-intermediate risk boundary,70 days
3.25,61.53846154,Low-intermediate risk boundary,70 days
3.5,57.14285714,Low-intermediate risk boundary,70 days
3.75,53.33333333,Low-intermediate risk boundary,70 days
4,50,Low-intermediate risk boundary,70 days
4.25,47.05882353,Low-intermediate risk boundary,70 days
4.5,44.44444444,Low-intermediate risk boundary,70 days
4.75,42.10526316,Low-intermediate risk boundary,70 days
5,40,Low-intermediate risk boundary,70 days
6,33.33333333,Low-intermediate risk boundary,70 days
7,28.57142857,Low-intermediate risk boundary,70 days
8,25,Low-intermediate risk boundary,70 days
9,22.22222222,Low-intermediate risk boundary,70 days
10,20,Low-intermediate risk boundary,70 days
11,18.18181818,Low-intermediate risk boundary,70 days
12,16.66666667,Low-intermediate risk boundary,70 days
13,15.38461538,Low-intermediate risk boundary,70 days
14,14.28571429,Low-intermediate risk boundary,70 days
15,13.33333333,Low-intermediate risk boundary,70 days
16,12.5,Low-intermediate risk boundary,70 days
17,11.76470588,Low-intermediate risk boundary,70 days
18,11.11111111,Low-intermediate risk boundary,70 days
19,10.52631579,Low-intermediate risk boundary,70 days
20,10,Low-intermediate risk boundary,70 days
21,9.523809524,Low-intermediate risk boundary,70 days
22,9.090909091,Low-intermediate risk boundary,70 days
23,8.695652174,Low-intermediate risk boundary,70 days
24,8.333333333,Low-intermediate risk boundary,70 days
25,8,Low-intermediate risk boundary,70 days
26,7.692307692,Low-intermediate risk boundary,70 days
27,7.407407407,Low-intermediate risk boundary,70 days
28,7.142857143,Low-intermediate risk boundary,70 days
29,6.896551724,Low-intermediate risk boundary,70 days
30,6.666666667,Low-intermediate risk boundary,70 days
31,6.451612903,Low-intermediate risk boundary,70 days
32,6.25,Low-intermediate risk boundary,70 days
33,6.060606061,Low-intermediate risk boundary,70 days
34,5.882352941,Low-intermediate risk boundary,70 days
35,5.714285714,Low-intermediate risk boundary,70 days
36,5.555555556,Low-intermediate risk boundary,70 days
37,5.405405405,Low-intermediate risk boundary,70 days
38,5.263157895,Low-intermediate risk boundary,70 days
39,5.128205128,Low-intermediate risk boundary,70 days
40,5,Low-intermediate risk boundary,70 days
41,4.87804878,Low-intermediate risk boundary,70 days
42,4.761904762,Low-intermediate risk boundary,70 days
43,4.651162791,Low-intermediate risk boundary,70 days
44,4.545454545,Low-intermediate risk boundary,70 days
45,4.444444444,Low-intermediate risk boundary,70 days
46,4.347826087,Low-intermediate risk boundary,70 days
47,4.255319149,Low-intermediate risk boundary,70 days
48,4.166666667,Low-intermediate risk boundary,70 days
49,4.081632653,Low-intermediate risk boundary,70 days
50,4,Low-intermediate risk boundary,70 days
51,3.921568627,Low-intermediate risk boundary,70 days
52,3.846153846,Low-intermediate risk boundary,70 days
53,3.773584906,Low-intermediate risk boundary,70 days
54,3.703703704,Low-intermediate risk boundary,70 days
55,3.636363636,Low-intermediate risk boundary,70 days
56,3.571428571,Low-intermediate risk boundary,70 days
57,3.50877193,Low-intermediate risk boundary,70 days
58,3.448275862,Low-intermediate risk boundary,70 days
59,3.389830508,Low-intermediate risk boundary,70 days
60,3.333333333,Low-intermediate risk boundary,70 days
61,3.278688525,Low-intermediate risk boundary,70 days
62,3.225806452,Low-intermediate risk boundary,70 days
63,3.174603175,Low-intermediate risk boundary,70 days
64,3.125,Low-intermediate risk boundary,70 days
65,3.076923077,Low-intermediate risk boundary,70 days
66,3.03030303,Low-intermediate risk boundary,70 days
67,2.985074627,Low-intermediate risk boundary,70 days
68,2.941176471,Low-intermediate risk boundary,70 days
69,2.898550725,Low-intermediate risk boundary,70 days
